INFO  - 2014-02-07 16:41:59.257; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-02-07 16:42:00.675; org.apache.solr.schema.IndexSchema; [collection1] Schema name=voice
INFO  - 2014-02-07 16:42:01.142; org.apache.solr.schema.IndexSchema; unique key field: _id
INFO  - 2014-02-07 16:42:01.154; org.apache.solr.schema.IndexSchema; unique key field: _id
INFO  - 2014-02-07 16:42:01.293; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-07 16:42:01.302; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-07 16:42:01.303; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-07 16:42:01.318; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-07 16:42:01.488; org.apache.solr.schema.IndexSchema; unique key field: _id
INFO  - 2014-02-07 16:42:01.562; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-07 16:42:01.573; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-07 16:42:01.813; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-02-07 16:42:01.824; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /data/solr/collection1/, dataDir=/data/solr/collection1/data/
INFO  - 2014-02-07 16:42:01.825; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@70c13c17
INFO  - 2014-02-07 16:42:02.223; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-02-07 16:42:02.223; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-02-07 16:42:02.243; org.apache.solr.core.CachingDirectoryFactory; return new directory for /data/solr/collection1/data
INFO  - 2014-02-07 16:42:02.243; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/data/solr/collection1/data/index/
INFO  - 2014-02-07 16:42:02.243; org.apache.solr.core.CachingDirectoryFactory; return new directory for /data/solr/collection1/data/index
INFO  - 2014-02-07 16:42:02.256; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-02-07 16:42:02.257; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:42:02.257; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:42:02.262; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-02-07 16:42:02.262; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-02-07 16:42:02.264; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-02-07 16:42:02.265; org.apache.solr.core.SolrCore; [fs-user] Opening new SolrCore at /data/solr/fs-user/, dataDir=/data/solr/fs-user/data/
INFO  - 2014-02-07 16:42:02.265; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@70c13c17
INFO  - 2014-02-07 16:42:02.273; org.apache.solr.core.SolrCore; [fs-user] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-02-07 16:42:02.273; org.apache.solr.core.SolrCore; [fs-user] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-02-07 16:42:02.274; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-02-07 16:42:02.274; org.apache.solr.core.CachingDirectoryFactory; return new directory for /data/solr/fs-user/data
INFO  - 2014-02-07 16:42:02.274; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/data/solr/fs-user/data/index/
INFO  - 2014-02-07 16:42:02.275; org.apache.solr.core.SolrCore; [fs-voice] Opening new SolrCore at /data/solr/fs-voice/, dataDir=/data/solr/fs-voice/data/
WARN  - 2014-02-07 16:42:02.275; org.apache.solr.core.SolrCore; [fs-user] Solr index directory '/data/solr/fs-user/data/index' doesn't exist. Creating new index...
INFO  - 2014-02-07 16:42:02.275; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@70c13c17
INFO  - 2014-02-07 16:42:02.276; org.apache.solr.core.CachingDirectoryFactory; return new directory for /data/solr/fs-user/data/index
INFO  - 2014-02-07 16:42:02.276; org.apache.solr.core.SolrCore; [fs-voice] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-02-07 16:42:02.276; org.apache.solr.core.SolrCore; [fs-voice] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-02-07 16:42:02.278; org.apache.solr.core.CachingDirectoryFactory; return new directory for /data/solr/fs-voice/data
INFO  - 2014-02-07 16:42:02.278; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/data/solr/fs-voice/data/index/
INFO  - 2014-02-07 16:42:02.279; org.apache.solr.core.CachingDirectoryFactory; return new directory for /data/solr/fs-voice/data/index
INFO  - 2014-02-07 16:42:02.280; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-02-07 16:42:02.280; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:42:02.280; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:42:02.281; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-02-07 16:42:02.281; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-02-07 16:42:02.384; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/data/solr/fs-user/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@6763a59; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-02-07 16:42:02.386; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-02-07 16:42:02.388; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-02-07 16:42:02.388; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:42:02.389; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
