INFO  - 2014-02-07 16:33:20.370; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-02-07 16:33:25.824; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-02-07 16:33:25.825; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-02-07 16:33:25.829; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-02-07 16:33:25.829; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:33:25.829; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-02-07 16:33:25.830; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-02-07 16:33:25.830; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-02-07 16:33:25.834; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-02-07 16:33:25.837; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-02-07 16:33:25.838; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-02-07 16:33:25.839; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /data/solr/collection1/conf/elevate.xml
INFO  - 2014-02-07 16:33:25.840; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-02-07 16:33:25.841; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-02-07 16:33:25.839; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-02-07 16:33:25.842; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-02-07 16:33:25.844; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-02-07 16:33:25.844; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-02-07 16:33:25.845; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-02-07 16:33:25.845; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-02-07 16:33:25.846; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-02-07 16:33:25.846; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2014-02-07 16:33:25.847; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
